<<<<<<< HEAD
,signal0
0,849
1,849
2,847
3,844
4,845
5,847
6,846
7,849
8,851
9,853
10,851
11,851
12,851
13,849
14,851
15,851
16,847
17,850
18,850
19,853
20,854
21,853
22,855
23,858
24,856
25,856
26,856
27,856
28,855
29,856
30,856
31,860
32,862
33,860
34,863
35,863
36,862
37,862
38,861
39,860
40,860
41,863
42,863
43,863
44,864
45,866
46,868
47,868
48,868
49,866
50,863
51,865
52,864
53,862
54,862
55,867
56,868
57,870
58,872
59,871
60,871
61,871
62,868
63,870
64,869
65,870
66,871
67,874
68,875
69,875
70,877
71,875
72,876
73,874
74,874
75,872
76,872
77,871
78,871
79,872
80,874
81,875
82,877
83,876
84,874
85,872
86,868
87,867
88,864
89,863
90,863
91,864
92,863
93,862
94,862
95,860
96,858
97,852
98,851
99,851
100,848
101,849
102,845
103,847
104,845
105,847
106,847
107,846
108,845
109,840
110,839
111,836
112,835
113,836
114,838
115,839
116,840
117,839
118,839
119,840
120,840
121,839
122,837
123,835
124,834
125,835
126,834
127,835
128,835
129,837
130,837
131,837
132,837
133,832
134,831
135,828
136,826
137,826
138,824
139,828
140,829
141,831
142,831
143,830
144,829
145,828
146,828
147,826
148,825
149,824
150,822
151,825
152,825
153,827
154,827
155,828
156,826
157,824
158,824
159,822
160,820
161,819
162,822
163,822
164,822
165,824
166,826
167,825
168,825
169,826
170,824
171,822
172,822
173,822
174,826
175,826
176,826
177,828
178,829
179,829
180,828
181,826
182,827
183,826
184,826
185,823
186,826
187,826
188,829
189,831
190,832
191,832
192,830
193,827
194,824
195,823
196,821
197,823
198,824
199,828
200,830
201,831
202,831
203,831
204,832
205,829
206,828
207,828
208,827
209,827
210,828
211,829
212,830
213,833
214,834
215,833
216,832
217,834
218,831
219,831
220,827
221,826
222,831
223,833
224,833
225,835
226,836
227,837
228,835
229,833
230,833
231,831
232,831
233,833
234,831
235,833
236,834
237,836
238,837
239,836
240,836
241,835
242,833
243,832
244,833
245,830
246,832
247,836
248,834
249,837
250,839
251,841
252,841
253,837
254,839
255,835
256,837
257,834
258,832
259,832
260,833
261,839
262,839
263,842
264,844
265,847
266,848
267,849
268,850
269,846
270,846
271,847
272,850
273,851
274,854
275,855
276,852
277,852
278,851
279,848
280,847
281,847
282,850
283,850
284,851
285,853
286,853
287,852
288,850
289,848
290,847
291,844
292,843
293,841
294,839
295,841
296,840
297,844
298,843
299,847
300,848
301,847
302,846
303,845
304,846
305,847
306,846
307,848
308,849
309,848
310,851
311,851
312,853
313,855
314,857
315,865
316,880
317,900
318,922
319,949
320,971
321,987
322,1001
323,1008
324,1009
325,1014
326,1022
327,1031
328,1033
329,1035
330,1027
331,1016
332,1000
333,981
334,959
335,936
336,915
337,896
338,880
339,868
340,862
341,856
342,855
343,853
344,855
345,860
346,861
347,863
348,863
349,860
350,862
351,861
352,859
353,859
354,860
355,860
356,862
357,865
358,868
359,867
360,865
361,866
362,867
363,866
364,864
365,866
366,864
367,864
368,866
369,869
370,872
371,872
372,871
373,873
374,869
375,867
376,869
377,868
378,870
379,870
380,870
381,873
382,876
383,876
384,878
385,874
386,873
387,873
388,873
389,871
390,872
391,874
392,873
393,876
394,878
395,877
396,877
397,879
398,879
399,876
